08-05 15:49:41.886|DEBUG|WindowFactory:Show dialog window Playnite.Windows.ProgressWindowFactory: b41660c0-f30d-4a62-99be-f6e6e4be0997
08-05 15:49:41.922|DEBUG|WindowFactory:Closing window Playnite.Windows.ProgressWindowFactory: b41660c0-f30d-4a62-99be-f6e6e4be0997, True
09-05 15:44:44.952|INFO |ProgramEntry:App arguments: '--hidesplashscreen,--startclosedtotray'
09-05 15:44:46.732|INFO |PlayniteApplication:Application started from 'C:\Users\han\AppData\Local\Playnite'
09-05 15:44:47.997|INFO |ExtensionFactory:Loaded plugin: IGDB metadata provider, version 2.6
09-05 15:44:48.108|DEBUG|WindowFactory:Show window Playnite.DesktopApp.Windows.MainWindowFactory: 66e1b218-6ea4-4dd9-bb13-950df4baa778
09-05 15:44:48.308|DEBUG|GamesCollectionViewEntry:Reloading collection item view properties.
09-05 15:44:48.350|INFO |GameDatabase:Opening db C:\Users\han\AppData\Roaming\Playnite\library
09-05 15:44:48.350|DEBUG|WindowFactory:Show dialog window Playnite.Windows.ProgressWindowFactory: eb4d13b4-fd0b-4d7a-b325-7e5b823bf446
09-05 15:44:48.517|DEBUG|ExecutionTimer:--- Timer 'DatabaseLoadCollections', 162 ms to complete.
09-05 15:44:49.135|INFO |DatabaseStats:Completely recalculating database statistics...
09-05 15:44:49.150|DEBUG|WindowFactory:Closing window Playnite.Windows.ProgressWindowFactory: eb4d13b4-fd0b-4d7a-b325-7e5b823bf446, True
09-05 15:44:49.453|INFO |PlayniteApplication:Application 10.16.0.13735 started
09-05 15:44:49.600|INFO |MainViewModelBase:Importing emulated games from Config config.
09-05 15:44:49.600|ERROR|MainViewModelBase:Failed to import emulated games from config:

00000000-0000-0000-0000-000000000000

System.Exception: Emulator not found.
   在 Playnite.Emulators.GameScanner.Scan(CancellationToken cancelToken, List`1& newPlatforms, List`1& newRegions, Action`1 fileScanCallback) 位置 C:\projects\playnite\source\Playnite\Emulators\Scanner.cs:行号 189
   在 Playnite.ViewModels.MainViewModelBase.ImportEmulatedGames(GameScannerConfig scanConfig, CancellationToken token) 位置 C:\projects\playnite\source\Playnite\ViewModels\MainViewModelBase.cs:行号 711
09-05 15:44:49.637|INFO |MainViewModelBase:Starting Library Install Size scan
